N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id
2000,1011744331896734,0.848,0.2562357142857143,0.1440928571428571,0.4003285714285713,1.576326428571429,0.5175214285714286,0.5330357142857145,19.61428571428572,0,Unjammed,0
2000,1020578668480920,0.848,7.142857142857143e-06,0.0545785714285714,0.0545857142857142,1.010980714285714,0.7664428571428572,0.9453428571428572,1.1428571428571428,1,Jammed,1
2000,1032785400457749,0.848,0.0,0.0474642857142857,0.0474642857142857,1.0101892857142858,0.4772142857142857,0.952514285714286,1.042857142857143,1,Jammed,1
2000,1034686135547599,0.848,0.1905714285714285,0.1508857142857143,0.3414571428571428,1.457223571428572,0.5861928571428572,0.6166142857142858,22.1,0,Unjammed,0
2000,1052030010736714,0.848,0.0,0.0629785714285714,0.0629785714285714,1.0125942857142856,0.7911,0.9369785714285714,1.0857142857142856,1,Jammed,1
2000,1068084324211974,0.848,0.24715,0.14945,0.3966,1.57163,0.5050428571428572,0.5265571428571428,24.34285714285714,0,Unjammed,0
2000,1070126987202609,0.848,5e-05,0.0665857142857142,0.0666357142857142,1.0092714285714288,0.4431928571428571,0.9332,1.3285714285714283,1,Jammed,1
2000,1082729744800802,0.848,0.0016857142857142,0.0151428571428571,0.0168285714285713,1.006665,0.0630785714285714,0.9830857142857145,1.1571428571428573,1,Jammed,1
2000,1092038932415872,0.848,0.1005142857142856,0.1044642857142857,0.2049785714285713,1.254662857142857,0.7665642857142857,0.7809142857142857,12.585714285714284,0,Unjammed,0
2000,1099062448631258,0.848,5e-05,0.0615,0.06155,1.0113121428571428,0.6581142857142858,0.9382785714285716,1.2857142857142858,1,Jammed,1
2000,1104211921913509,0.848,0.0,0.0490357142857143,0.0490357142857143,1.0104585714285717,0.8368571428571429,0.9509428571428572,1.042857142857143,1,Jammed,1
2000,1114806189928891,0.848,0.2633999999999998,0.13795,0.4013499999999997,1.582847142857143,0.5055928571428572,0.5233785714285714,22.15714285714286,0,Unjammed,0
2000,1122578106359740,0.848,0.0946285714285714,0.1020214285714285,0.1966499999999998,1.2407714285714284,0.7718285714285714,0.7876214285714286,13.857142857142858,0,Unjammed,0
2000,1123570616129223,0.848,0.2153071428571428,0.1362714285714286,0.3515785714285714,1.4963592857142851,0.5774357142857143,0.5966285714285714,22.485714285714284,0,Unjammed,0
2000,7713914261614,0.85,0.0,0.0244642857142857,0.0244642857142857,1.008152857142857,0.8660785714285715,0.9755357142857144,1.0,1,Jammed,1
2000,7984690204788,0.85,0.1016071428571428,0.1128357142857143,0.2144428571428571,1.2609207142857142,0.7527642857142859,0.76975,15.685714285714283,0,Unjammed,0
2000,12944511869278,0.85,0.0926785714285714,0.0965571428571428,0.1892357142857142,1.230506428571429,0.7808285714285714,0.7983,11.571428571428571,0,Unjammed,0
2000,31028804052714,0.85,0.0002142857142857,0.0393,0.0395142857142857,1.0096014285714283,0.8579357142857144,0.9604285714285714,1.1142857142857143,1,Jammed,1
2000,37852570490343,0.85,0.2480071428571428,0.1589214285714285,0.4069285714285713,1.57651,0.5113071428571428,0.5294071428571429,22.728571428571428,0,Unjammed,0
